snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-09-13,18-58-27,Sunday,2507950,Delta Force,101055,145637,46692093
2026-09-13,18-58-27,Sunday,1623730,Palworld,102486,330614,105212803
2026-09-13,18-58-27,Sunday,252490,Rust,102594,148276,66101405
2026-09-13,18-58-27,Sunday,2676230,FiveM,104773,206208,94666799
2026-09-13,18-58-27,Sunday,629520,Soundpad,14067,19270,9433964
2026-09-13,18-58-27,Sunday,1172470,Apex Legends™,143445,277193,90574152
2026-09-13,18-58-27,Sunday,8930,Sid Meier's Civilization V,14609,19414,9592190
2026-09-13,18-58-27,Sunday,3419430,Bongo Cat,151136,181650,105364145
2026-09-13,18-58-27,Sunday,1049590,Eternal Return,15408,27157,7897450
2026-09-13,18-58-27,Sunday,1665460,eFootball™,15490,32966,13969713
2026-09-13,18-58-27,Sunday,526870,Satisfactory,15902,26044,10824629
2026-09-13,18-58-27,Sunday,1771300,Kingdom Come: Deliverance II,15950,25797,9512755
2026-09-13,18-58-27,Sunday,3241660,R.E.P.O.,16140,33891,13645129
2026-09-13,18-58-27,Sunday,892970,Valheim,162254,270475,24101646
2026-09-13,18-58-27,Sunday,550,Left 4 Dead 2,16378,40053,17571779
2026-09-13,18-58-27,Sunday,1818450,STALCRAFT: X,16627,22590,8302860
2026-09-13,18-58-27,Sunday,2183900,"Warhammer 40,000: Space Marine 2",17728,24136,9059436
2026-09-13,18-58-27,Sunday,2622380,ELDEN RING NIGHTREIGN,18057,34386,11478051
2026-09-13,18-58-27,Sunday,3527290,PEAK,18069,118922,30572751
2026-09-13,18-58-27,Sunday,2252570,Football Manager 2024,18349,22974,10728792
2026-09-13,18-58-27,Sunday,1808500,ARC Raiders,18473,38494,16212139
2026-09-13,18-58-27,Sunday,346110,ARK: Survival Evolved,18477,27239,11846947
2026-09-13,18-58-27,Sunday,813780,Age of Empires II: Definitive Edition,18789,26302,12382142
2026-09-13,18-58-27,Sunday,427520,Factorio,18792,27275,12281650
2026-09-13,18-58-27,Sunday,292030,The Witcher 3: Wild Hunt,18858,31849,10796816
2026-09-13,18-58-27,Sunday,1643320,S.T.A.L.K.E.R. 2: Heart of Chornobyl,18922,40697,11416640
2026-09-13,18-58-27,Sunday,1285190,Borderlands 4,19295,27744,3672578
2026-09-13,18-58-27,Sunday,582010,Monster Hunter: World,19474,30550,9562756
2026-09-13,18-58-27,Sunday,376210,The Isle,19864,27843,13206285
2026-09-13,18-58-27,Sunday,2483190,Forza Horizon 6,19971,38317,12674363
2026-09-13,18-58-27,Sunday,582660,Black Desert,20595,29271,15801704
2026-09-13,18-58-27,Sunday,1158310,Crusader Kings III,20867,32966,14814486
2026-09-13,18-58-27,Sunday,284160,BeamNG.drive,21419,31486,13553955
2026-09-13,18-58-27,Sunday,766570,Russian Fishing 4,21803,25335,9910960
2026-09-13,18-58-27,Sunday,594650,Hunt: Showdown 1896,22314,38951,11335194
2026-09-13,18-58-27,Sunday,1938090,Call of Duty®,23021,45143,18386993
2026-09-13,18-58-27,Sunday,2358720,Black Myth: Wukong,23400,47042,14264244
