snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-07-28,12-25-34,Tuesday,2050650,Resident Evil 4,10127,21123,8214828
2026-07-28,12-25-34,Tuesday,2676230,FiveM,101337,192268,92802908
2026-07-28,12-25-34,Tuesday,1623660,MIR4,10331,11589,7636501
2026-07-28,12-25-34,Tuesday,4025700,Heartopia,10624,22159,7979102
2026-07-28,12-25-34,Tuesday,739630,Phasmophobia,10723,22258,6659137
2026-07-28,12-25-34,Tuesday,2300320,Farming Simulator 25,11151,53125,18378332
2026-07-28,12-25-34,Tuesday,583950,Artifact Classic,11297,11413,3233080
2026-07-28,12-25-34,Tuesday,227300,Euro Truck Simulator 2,11598,55152,21422402
2026-07-28,12-25-34,Tuesday,427520,Factorio,11804,28183,12602923
2026-07-28,12-25-34,Tuesday,3564740,Where Winds Meet,11835,30141,9951206
2026-07-28,12-25-34,Tuesday,387990,Scrap Mechanic,12083,37538,2945015
2026-07-28,12-25-34,Tuesday,2246340,Monster Hunter Wilds,12257,37922,12657273
2026-07-28,12-25-34,Tuesday,219990,Grim Dawn,12394,27820,4773264
2026-07-28,12-25-34,Tuesday,2622380,ELDEN RING NIGHTREIGN,12435,40755,13096641
2026-07-28,12-25-34,Tuesday,3224770,Umamusume: Pretty Derby,12672,28860,6456866
2026-07-28,12-25-34,Tuesday,1364780,Street Fighter™ 6,12725,35928,11980183
2026-07-28,12-25-34,Tuesday,284160,BeamNG.drive,13008,30533,14317414
2026-07-28,12-25-34,Tuesday,3722330,Shift At Midnight,13035,37590,1833533
2026-07-28,12-25-34,Tuesday,304930,Unturned,13123,16826,9474056
2026-07-28,12-25-34,Tuesday,2073850,THE FINALS,13127,28265,9454594
2026-07-28,12-25-34,Tuesday,892970,Valheim,13177,35085,13135255
2026-07-28,12-25-34,Tuesday,526870,Satisfactory,13212,34281,14199996
2026-07-28,12-25-34,Tuesday,813780,Age of Empires II: Definitive Edition,13486,26588,12423818
2026-07-28,12-25-34,Tuesday,582010,Monster Hunter: World,13709,41555,12790816
2026-07-28,12-25-34,Tuesday,252950,Rocket League,14438,29245,11744115
2026-07-28,12-25-34,Tuesday,3419430,Bongo Cat,147950,187676,111618711
