snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-09-16,14-42-23,Wednesday,813780,Age of Empires II: Definitive Edition,10050,26302,12151003
2026-09-16,14-42-23,Wednesday,583950,Artifact Classic,10142,11972,6365732
2026-09-16,14-42-23,Wednesday,1085660,Destiny 2,10148,31321,13063064
2026-09-16,14-42-23,Wednesday,2358720,Black Myth: Wukong,10299,47042,13726526
2026-09-16,14-42-23,Wednesday,1158310,Crusader Kings III,10448,32966,14325346
2026-09-16,14-42-23,Wednesday,3527290,PEAK,10465,99734,26079875
2026-09-16,14-42-23,Wednesday,2300320,Farming Simulator 25,10608,58907,19168829
2026-09-16,14-42-23,Wednesday,2622380,ELDEN RING NIGHTREIGN,10622,34386,11120396
2026-09-16,14-42-23,Wednesday,1476970,IdleOn - The Idle RPG,11127,19188,9072905
2026-09-16,14-42-23,Wednesday,4000,Garry's Mod,11372,38810,16572952
2026-09-16,14-42-23,Wednesday,766570,Russian Fishing 4,11391,25335,9872828
2026-09-16,14-42-23,Wednesday,1623660,MIR4,11502,14285,8996548
2026-09-16,14-42-23,Wednesday,1808500,ARC Raiders,11838,38494,15904750
2026-09-16,14-42-23,Wednesday,582010,Monster Hunter: World,12045,30550,9457154
2026-09-16,14-42-23,Wednesday,1364780,Street Fighter™ 6,12628,39112,12422792
2026-09-16,14-42-23,Wednesday,3321460,Crimson Desert,12879,44164,13233724
2026-09-16,14-42-23,Wednesday,376210,The Isle,13357,27843,13278448
2026-09-16,14-42-23,Wednesday,3419430,Bongo Cat,134525,181650,105402649
2026-09-16,14-42-23,Wednesday,2638890,Onimusha: Way of the Sword,13890,76061,7388362
2026-09-16,14-42-23,Wednesday,4001890,How to Fish,13920,373887,48026036
2026-09-16,14-42-23,Wednesday,1222670,The Sims™ 4,13924,36748,16674890
2026-09-16,14-42-23,Wednesday,1938090,Call of Duty®,14003,45299,17999619
2026-09-16,14-42-23,Wednesday,2399830,ARK: Survival Ascended,14124,40202,16702531
2026-09-16,14-42-23,Wednesday,251570,7 Days to Die,14423,48686,18679122
2026-09-16,14-42-23,Wednesday,1142710,Total War: WARHAMMER III,14448,51034,21034907
2026-09-16,14-42-23,Wednesday,304930,Unturned,14649,18631,9972063
2026-09-16,14-42-23,Wednesday,1905180,OBS Studio,14799,34448,14809962
2026-09-16,14-42-23,Wednesday,489830,The Elder Scrolls V: Skyrim Special Edition,14828,39584,17760349
2026-09-16,14-42-23,Wednesday,1281930,tModLoader,14971,41936,17834665
2026-09-16,14-42-23,Wednesday,2139460,Once Human,15432,34587,14445560
2026-09-16,14-42-23,Wednesday,582660,Black Desert,15861,29059,15365235
2026-09-16,14-42-23,Wednesday,3932890,Escape from Tarkov,15935,42072,17567510
2026-09-16,14-42-23,Wednesday,3551340,Football Manager 26,16402,54453,23904421
2026-09-16,14-42-23,Wednesday,261550,Mount & Blade II: Bannerlord,16492,50302,20029248
2026-09-16,14-42-23,Wednesday,550,Left 4 Dead 2,16570,40053,17103285
2026-09-16,14-42-23,Wednesday,1203220,NARAKA: BLADEPOINT,17161,74629,18724223
2026-09-16,14-42-23,Wednesday,221100,DayZ,17836,62310,25088512
2026-09-16,14-42-23,Wednesday,322330,Don't Starve Together,18108,58597,19297467
2026-09-16,14-42-23,Wednesday,2807960,Battlefield™ 6,18255,75918,27635919
2026-09-16,14-42-23,Wednesday,294100,RimWorld,19212,38695,18978040
2026-09-16,14-42-23,Wednesday,1091500,Cyberpunk 2077,19245,61521,26224776
2026-09-16,14-42-23,Wednesday,322170,Geometry Dash,19299,66023,28188305
2026-09-16,14-42-23,Wednesday,275850,No Man's Sky,19397,55464,9735014
2026-09-16,14-42-23,Wednesday,394360,Hearts of Iron IV,19582,62661,25557366
2026-09-16,14-42-23,Wednesday,1174180,Red Dead Redemption 2,19723,61287,22915764
2026-09-16,14-42-23,Wednesday,1245620,ELDEN RING,20458,54228,22542859
2026-09-16,14-42-23,Wednesday,3405690,EA SPORTS FC™ 26,20931,104731,42947592
2026-09-16,14-42-23,Wednesday,2246340,Monster Hunter Wilds,20936,47476,12461032
2026-09-16,14-42-23,Wednesday,1366800,Crosshair X,21245,45921,23640255
