snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-07-23,19-06-22,Thursday,4025700,Heartopia,11094,22159,7554215
2026-07-23,19-06-22,Thursday,1049590,Eternal Return,11128,18102,5321693
2026-07-23,19-06-22,Thursday,2139460,Once Human,11142,19698,8252873
2026-07-23,19-06-22,Thursday,3767850,SpiritVale,11269,20070,2061518
2026-07-23,19-06-22,Thursday,393380,Squad,11364,20257,8506588
2026-07-23,19-06-22,Thursday,2358720,Black Myth: Wukong,11367,17727,6327629
2026-07-23,19-06-22,Thursday,3224770,Umamusume: Pretty Derby,11564,28860,5815824
2026-07-23,19-06-22,Thursday,892970,Valheim,11955,34133,12641326
2026-07-23,19-06-22,Thursday,594650,Hunt: Showdown 1896,12110,33468,11793424
2026-07-23,19-06-22,Thursday,2344520,Diablo® IV,12139,42469,12190152
2026-07-23,19-06-22,Thursday,629520,Soundpad,12195,18513,9821072
2026-07-23,19-06-22,Thursday,365670,Blender,12399,14355,7787000
2026-07-23,19-06-22,Thursday,813780,Age of Empires II: Definitive Edition,12435,26588,12339872
2026-07-23,19-06-22,Thursday,4128580,BidKing:竞拍之王,12468,24825,7612400
2026-07-23,19-06-22,Thursday,2246340,Monster Hunter Wilds,12598,38433,13130472
2026-07-23,19-06-22,Thursday,3241660,R.E.P.O.,13139,53549,20149827
2026-07-23,19-06-22,Thursday,1771300,Kingdom Come: Deliverance II,13427,29234,10910381
2026-07-23,19-06-22,Thursday,427520,Factorio,13643,28183,12566593
2026-07-23,19-06-22,Thursday,2622380,ELDEN RING NIGHTREIGN,13800,40755,13132891
2026-07-23,19-06-22,Thursday,292030,The Witcher 3: Wild Hunt,14104,36591,13334825
2026-07-23,19-06-22,Thursday,526870,Satisfactory,14258,34281,14096037
2026-07-23,19-06-22,Thursday,304930,Unturned,14476,16826,9451320
2026-07-23,19-06-22,Thursday,2252570,Football Manager 2024,14856,22160,10577182
2026-07-23,19-06-22,Thursday,582010,Monster Hunter: World,15172,45522,13415537
2026-07-23,19-06-22,Thursday,550,Left 4 Dead 2,15658,45681,20333980
2026-07-23,19-06-22,Thursday,1158310,Crusader Kings III,15825,29055,13752394
2026-07-23,19-06-22,Thursday,766570,Russian Fishing 4,15910,20807,8984836
2026-07-23,19-06-22,Thursday,1938090,Call of Duty®,16051,52460,21367561
2026-07-23,19-06-22,Thursday,1818450,STALCRAFT: X,16103,24228,8116895
2026-07-23,19-06-22,Thursday,553850,HELLDIVERS™ 2,16192,43782,19300927
2026-07-23,19-06-22,Thursday,3419430,Bongo Cat,162480,187676,111422877
2026-07-23,19-06-22,Thursday,489830,The Elder Scrolls V: Skyrim Special Edition,17246,41579,18417185
2026-07-23,19-06-22,Thursday,3564740,Where Winds Meet,17460,27937,9515976
2026-07-23,19-06-22,Thursday,1364780,Street Fighter™ 6,17812,38588,12300300
2026-07-23,19-06-22,Thursday,346110,ARK: Survival Evolved,18237,29972,13777863
2026-07-23,19-06-22,Thursday,284160,BeamNG.drive,18393,29527,14196930
2026-07-23,19-06-22,Thursday,2073620,Arena Breakout: Infinite,18492,37538,15388197
2026-07-23,19-06-22,Thursday,1142710,Total War: WARHAMMER III,18909,38836,16814961
2026-07-23,19-06-22,Thursday,1665460,eFootball™,18949,28065,12525379
2026-07-23,19-06-22,Thursday,1808500,ARC Raiders,19089,50371,21422619
2026-07-23,19-06-22,Thursday,108600,Project Zomboid,19146,40631,19369313
2026-07-23,19-06-22,Thursday,1222670,The Sims™ 4,19411,37217,18102214
2026-07-23,19-06-22,Thursday,3932890,Escape from Tarkov,19639,32946,13429403
2026-07-23,19-06-22,Thursday,1905180,OBS Studio,22034,31953,14256611
2026-07-23,19-06-22,Thursday,2300320,Farming Simulator 25,22242,52451,17723469
2026-07-23,19-06-22,Thursday,1245620,ELDEN RING,22259,47625,21811797
2026-07-23,19-06-22,Thursday,4000,Garry's Mod,22366,35477,17350046
2026-07-23,19-06-22,Thursday,251570,7 Days to Die,22378,64791,24538705
2026-07-23,19-06-22,Thursday,3678970,TBH: Task Bar Hero,227206,526424,262676607
2026-07-23,19-06-22,Thursday,2483190,Forza Horizon 6,23103,77814,24661546
2026-07-23,19-06-22,Thursday,1085660,Destiny 2,23705,106007,42782611
2026-07-23,19-06-22,Thursday,3472040,NBA 2K26,23839,46337,18409677
2026-07-23,19-06-22,Thursday,261550,Mount & Blade II: Bannerlord,24496,46397,18279773
2026-07-23,19-06-22,Thursday,294100,RimWorld,25591,42137,20757510
