snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-08-09,01-16-02,Sunday,2507950,Delta Force,101212,137467,51542444
2026-08-09,01-16-02,Sunday,108600,Project Zomboid,108737,120957,31922518
2026-08-09,01-16-02,Sunday,730,Counter-Strike 2,1108446,1362464,619386399
2026-08-09,01-16-02,Sunday,3405690,EA SPORTS FC™ 26,114493,159730,73550583
2026-08-09,01-16-02,Sunday,3678970,TBH: Task Bar Hero,136576,427024,164314286
2026-08-09,01-16-02,Sunday,3419430,Bongo Cat,138020,187676,111155667
2026-08-09,01-16-02,Sunday,252490,Rust,157488,196181,75704682
2026-08-09,01-16-02,Sunday,2676230,FiveM,165848,192268,94482670
2026-08-09,01-16-02,Sunday,252950,Rocket League,17688,27316,11648967
2026-08-09,01-16-02,Sunday,376210,The Isle,17769,19665,9577885
2026-08-09,01-16-02,Sunday,1817070,Marvel’s Spider-Man Remastered,18399,18882,4365691
2026-08-09,01-16-02,Sunday,881020,Granblue Fantasy: Relink,18414,89585,22447905
2026-08-09,01-16-02,Sunday,3812600,ReStory: Chill Electronics Repairs,18854,18862,612624
2026-08-09,01-16-02,Sunday,1818450,STALCRAFT: X,19071,25154,9503692
2026-08-09,01-16-02,Sunday,2183900,"Warhammer 40,000: Space Marine 2",19720,25166,10584466
2026-08-09,01-16-02,Sunday,1478500,Big Walk,19751,45644,1820769
2026-08-09,01-16-02,Sunday,3564740,Where Winds Meet,19895,30141,10243853
2026-08-09,01-16-02,Sunday,2252570,Football Manager 2024,20087,23144,10981377
2026-08-09,01-16-02,Sunday,1172470,Apex Legends™,207994,291356,77630818
2026-08-09,01-16-02,Sunday,582010,Monster Hunter: World,21607,35204,11983690
2026-08-09,01-16-02,Sunday,387990,Scrap Mechanic,22067,37538,7593647
2026-08-09,01-16-02,Sunday,892970,Valheim,22258,35085,12918153
2026-08-09,01-16-02,Sunday,2246340,Monster Hunter Wilds,22349,33722,11562074
2026-08-09,01-16-02,Sunday,526870,Satisfactory,22652,31872,13527203
2026-08-09,01-16-02,Sunday,292030,The Witcher 3: Wild Hunt,22671,32543,11892299
2026-08-09,01-16-02,Sunday,594650,Hunt: Showdown 1896,23186,31494,11700378
2026-08-09,01-16-02,Sunday,813780,Age of Empires II: Definitive Edition,23409,26391,12512046
2026-08-09,01-16-02,Sunday,460930,Tom Clancy's Ghost Recon® Wildlands,23632,23992,1561526
2026-08-09,01-16-02,Sunday,2622380,ELDEN RING NIGHTREIGN,23831,38530,12677532
2026-08-09,01-16-02,Sunday,427520,Factorio,23858,27075,12609193
2026-08-09,01-16-02,Sunday,346110,ARK: Survival Evolved,23967,29972,14115249
2026-08-09,01-16-02,Sunday,3527290,PEAK,26458,31040,9419614
2026-08-09,01-16-02,Sunday,3472040,NBA 2K26,26469,40941,16137049
2026-08-09,01-16-02,Sunday,1158310,Crusader Kings III,26645,29852,14402781
2026-08-09,01-16-02,Sunday,582660,Black Desert,26709,27823,13909578
2026-08-09,01-16-02,Sunday,2436940,Sephiria,26941,32076,3273741
2026-08-09,01-16-02,Sunday,1905180,OBS Studio,27290,33348,15102502
2026-08-09,01-16-02,Sunday,1973530,Limbus Company,27582,157444,27868206
2026-08-09,01-16-02,Sunday,284160,BeamNG.drive,28148,47238,15953507
2026-08-09,01-16-02,Sunday,2483190,Forza Horizon 6,28450,56660,19033734
2026-08-09,01-16-02,Sunday,1808500,ARC Raiders,28859,48122,20283909
2026-08-09,01-16-02,Sunday,1665460,eFootball™,29220,34549,14404460
2026-08-09,01-16-02,Sunday,2694490,Path of Exile 2,29319,87828,27493131
2026-08-09,01-16-02,Sunday,1364780,Street Fighter™ 6,30080,64114,13158131
2026-08-09,01-16-02,Sunday,2142790,Fields of Mistria,30293,30982,3040129
2026-08-09,01-16-02,Sunday,550,Left 4 Dead 2,30349,43372,20127804
2026-08-09,01-16-02,Sunday,1142710,Total War: WARHAMMER III,31070,38238,17032431
2026-08-09,01-16-02,Sunday,1222670,The Sims™ 4,31709,36895,18432395
2026-08-09,01-16-02,Sunday,218620,PAYDAY 2,31782,36062,21620027
2026-08-09,01-16-02,Sunday,1938090,Call of Duty®,31992,47134,20809102
2026-08-09,01-16-02,Sunday,2073620,Arena Breakout: Infinite,32882,41704,17718325
2026-08-09,01-16-02,Sunday,2399830,ARK: Survival Ascended,33708,49602,22112571
2026-08-09,01-16-02,Sunday,4000,Garry's Mod,33883,37948,18752230
2026-08-09,01-16-02,Sunday,1281930,tModLoader,34271,42799,20159904
2026-08-09,01-16-02,Sunday,1174180,Red Dead Redemption 2,34437,52264,23167271
2026-08-09,01-16-02,Sunday,1085660,Destiny 2,34824,76875,30350871
2026-08-09,01-16-02,Sunday,3282300,Mistfall Hunter,35305,44356,5011758
2026-08-09,01-16-02,Sunday,294100,RimWorld,35453,40794,20686479
2026-08-09,01-16-02,Sunday,105600,Terraria,35489,47369,22169374
2026-08-09,01-16-02,Sunday,3241660,R.E.P.O.,35514,43198,18070626
2026-08-09,01-16-02,Sunday,489830,The Elder Scrolls V: Skyrim Special Edition,35900,41268,18893314
2026-08-09,01-16-02,Sunday,261550,Mount & Blade II: Bannerlord,36846,45338,19057797
2026-08-09,01-16-02,Sunday,1245620,ELDEN RING,38044,43894,21015744
2026-08-09,01-16-02,Sunday,553850,HELLDIVERS™ 2,38269,42206,19616639
2026-08-09,01-16-02,Sunday,2300320,Farming Simulator 25,38707,53125,18807980
2026-08-09,01-16-02,Sunday,227300,Euro Truck Simulator 2,39044,55152,21144076
2026-08-09,01-16-02,Sunday,3932890,Escape from Tarkov,39089,44110,15389955
2026-08-09,01-16-02,Sunday,251570,7 Days to Die,39132,56745,22671568
2026-08-09,01-16-02,Sunday,1366800,Crosshair X,40821,46093,26207818
2026-08-09,01-16-02,Sunday,322330,Don't Starve Together,41554,88466,25185759
2026-08-09,01-16-02,Sunday,289070,Sid Meier's Civilization VI,42086,48652,22185525
2026-08-09,01-16-02,Sunday,1623730,Palworld,426512,956613,364437827
2026-08-09,01-16-02,Sunday,3551340,Football Manager 26,45227,51678,23138823
2026-08-09,01-16-02,Sunday,1203220,NARAKA: BLADEPOINT,47213,105783,29278276
2026-08-09,01-16-02,Sunday,221100,DayZ,51162,64772,27003323
2026-08-09,01-16-02,Sunday,578080,PUBG: BATTLEGROUNDS,513771,792142,245379840
2026-08-09,01-16-02,Sunday,394360,Hearts of Iron IV,52182,61302,28632214
2026-08-09,01-16-02,Sunday,322170,Geometry Dash,53645,67864,33555034
2026-08-09,01-16-02,Sunday,2807960,Battlefield™ 6,53650,84038,31023821
2026-08-09,01-16-02,Sunday,440,Team Fortress 2,58551,67731,36819958
2026-08-09,01-16-02,Sunday,438100,VRChat,60743,63891,33925297
2026-08-09,01-16-02,Sunday,359550,Tom Clancy's Rainbow Six Siege,62367,80907,39171207
2026-08-09,01-16-02,Sunday,236390,War Thunder,64500,81949,36624367
2026-08-09,01-16-02,Sunday,381210,Dead by Daylight,69059,101973,47532213
2026-08-09,01-16-02,Sunday,1086940,Baldur's Gate 3,70227,81156,34007704
2026-08-09,01-16-02,Sunday,2357570,Overwatch®,70378,72017,34845025
2026-08-09,01-16-02,Sunday,1091500,Cyberpunk 2077,70477,89340,37449174
2026-08-09,01-16-02,Sunday,230410,Warframe,72474,157162,44110011
2026-08-09,01-16-02,Sunday,238960,Path of Exile,74512,187116,30444759
2026-08-09,01-16-02,Sunday,3240220,Grand Theft Auto V Enhanced,80833,160737,52763468
2026-08-09,01-16-02,Sunday,570,Dota 2,821877,869050,412511475
2026-08-09,01-16-02,Sunday,2868840,Slay the Spire 2,83508,111704,48486649
2026-08-09,01-16-02,Sunday,413150,Stardew Valley,84738,125051,49119617
2026-08-09,01-16-02,Sunday,271590,Grand Theft Auto V Legacy,85783,98067,49582909
2026-08-09,01-16-02,Sunday,431960,Wallpaper Engine,97310,122374,57589203
2026-08-09,01-16-02,Sunday,2767030,Marvel Rivals,97917,196974,64357778
2026-08-09,01-16-02,Sunday,250900,The Binding of Isaac: Rebirth,99909,155146,66025390
