snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-08-02,06-09-52,Sunday,108600,Project Zomboid,103160,105536,23535055
2026-08-02,06-09-52,Sunday,2767030,Marvel Rivals,108111,196974,63150629
2026-08-02,06-09-52,Sunday,3419430,Bongo Cat,117432,187676,113350540
2026-08-02,06-09-52,Sunday,3405690,EA SPORTS FC™ 26,124653,159730,76148744
2026-08-02,06-09-52,Sunday,252490,Rust,126834,194484,78819986
2026-08-02,06-09-52,Sunday,3527290,PEAK,12855,24784,9916951
2026-08-02,06-09-52,Sunday,1818450,STALCRAFT: X,13193,25154,9123925
2026-08-02,06-09-52,Sunday,3564740,Where Winds Meet,13814,30141,10224301
2026-08-02,06-09-52,Sunday,291550,Brawlhalla,13861,14861,7142300
2026-08-02,06-09-52,Sunday,881020,Granblue Fantasy: Relink,13960,89585,21049835
2026-08-02,06-09-52,Sunday,1771300,Kingdom Come: Deliverance II,14777,29234,11516294
2026-08-02,06-09-52,Sunday,377160,Fallout 4,15250,17430,8322809
2026-08-02,06-09-52,Sunday,3678970,TBH: Task Bar Hero,153007,488039,208286876
2026-08-02,06-09-52,Sunday,629520,Soundpad,15798,18513,10028126
2026-08-02,06-09-52,Sunday,1149460,ICARUS,15924,23190,4441770
2026-08-02,06-09-52,Sunday,739630,Phasmophobia,15953,22258,7159453
2026-08-02,06-09-52,Sunday,322330,Don't Starve Together,16245,100058,27839697
2026-08-02,06-09-52,Sunday,219990,Grim Dawn,16416,27820,6090969
2026-08-02,06-09-52,Sunday,393380,Squad,16672,21146,8861232
2026-08-02,06-09-52,Sunday,8930,Sid Meier's Civilization V,16991,19307,9545642
2026-08-02,06-09-52,Sunday,2252570,Football Manager 2024,17283,23144,11020147
2026-08-02,06-09-52,Sunday,2676230,FiveM,173697,192268,95192487
2026-08-02,06-09-52,Sunday,3932890,Escape from Tarkov,17552,32946,14120962
2026-08-02,06-09-52,Sunday,376210,The Isle,17572,20243,9590130
2026-08-02,06-09-52,Sunday,2073850,THE FINALS,17939,28265,9917847
2026-08-02,06-09-52,Sunday,292030,The Witcher 3: Wild Hunt,18062,36591,12748887
2026-08-02,06-09-52,Sunday,1973530,Limbus Company,18315,157444,29990476
2026-08-02,06-09-52,Sunday,346110,ARK: Survival Evolved,18563,29972,14371681
2026-08-02,06-09-52,Sunday,3164500,Schedule I,18723,24717,8713544
2026-08-02,06-09-52,Sunday,1905180,OBS Studio,18759,32893,14886912
2026-08-02,06-09-52,Sunday,578080,PUBG: BATTLEGROUNDS,188394,792142,245178390
2026-08-02,06-09-52,Sunday,594650,Hunt: Showdown 1896,19276,33468,11999754
2026-08-02,06-09-52,Sunday,1874880,Arma Reforger,19869,22742,8963379
2026-08-02,06-09-52,Sunday,1431300,SAND: Raiders of Sophie,20941,41251,10955453
2026-08-02,06-09-52,Sunday,2183900,"Warhammer 40,000: Space Marine 2",21320,24926,10409093
2026-08-02,06-09-52,Sunday,813780,Age of Empires II: Definitive Edition,21838,26391,12662979
2026-08-02,06-09-52,Sunday,1281930,tModLoader,21992,42799,20322862
2026-08-02,06-09-52,Sunday,2483190,Forza Horizon 6,22881,63652,21312296
2026-08-02,06-09-52,Sunday,427520,Factorio,23497,28183,12804997
2026-08-02,06-09-52,Sunday,218620,PAYDAY 2,23514,36062,22209373
2026-08-02,06-09-52,Sunday,1665460,eFootball™,24109,33311,13840197
2026-08-02,06-09-52,Sunday,526870,Satisfactory,24348,34281,14258381
2026-08-02,06-09-52,Sunday,1158310,Crusader Kings III,24670,29852,14563995
2026-08-02,06-09-52,Sunday,252950,Rocket League,24921,29245,11893979
2026-08-02,06-09-52,Sunday,582660,Black Desert,25594,26727,12963995
2026-08-02,06-09-52,Sunday,261550,Mount & Blade II: Bannerlord,25894,46397,19372912
2026-08-02,06-09-52,Sunday,892970,Valheim,25952,35085,13392982
2026-08-02,06-09-52,Sunday,387990,Scrap Mechanic,26405,37538,5102269
2026-08-02,06-09-52,Sunday,105600,Terraria,27368,48974,22931078
2026-08-02,06-09-52,Sunday,1142710,Total War: WARHAMMER III,28118,38836,17616114
2026-08-02,06-09-52,Sunday,294100,RimWorld,28755,42137,21323030
2026-08-02,06-09-52,Sunday,550,Left 4 Dead 2,29092,45681,20851052
2026-08-02,06-09-52,Sunday,1174180,Red Dead Redemption 2,29166,52264,24333475
2026-08-02,06-09-52,Sunday,1222670,The Sims™ 4,30759,37217,18641883
2026-08-02,06-09-52,Sunday,289070,Sid Meier's Civilization VI,31279,48589,22214055
2026-08-02,06-09-52,Sunday,2694490,Path of Exile 2,31466,125475,37910729
2026-08-02,06-09-52,Sunday,3241660,R.E.P.O.,31689,49053,18996559
2026-08-02,06-09-52,Sunday,4000,Garry's Mod,31825,37948,18531177
2026-08-02,06-09-52,Sunday,2073620,Arena Breakout: Infinite,32409,41704,17764137
2026-08-02,06-09-52,Sunday,2399830,ARK: Survival Ascended,32830,49602,23257193
2026-08-02,06-09-52,Sunday,1245620,ELDEN RING,33301,46694,21686599
2026-08-02,06-09-52,Sunday,284160,BeamNG.drive,33580,47238,15557032
2026-08-02,06-09-52,Sunday,553850,HELLDIVERS™ 2,34380,43782,19928379
2026-08-02,06-09-52,Sunday,489830,The Elder Scrolls V: Skyrim Special Edition,35519,41579,19029206
2026-08-02,06-09-52,Sunday,251570,7 Days to Die,35583,64791,24712707
2026-08-02,06-09-52,Sunday,227300,Euro Truck Simulator 2,36088,55152,21933964
2026-08-02,06-09-52,Sunday,3282300,Mistfall Hunter,36667,38826,338390
2026-08-02,06-09-52,Sunday,1808500,ARC Raiders,37066,50024,21305882
2026-08-02,06-09-52,Sunday,2300320,Farming Simulator 25,37528,53125,18894523
2026-08-02,06-09-52,Sunday,2507950,Delta Force,39605,143591,53149115
2026-08-02,06-09-52,Sunday,1938090,Call of Duty®,40103,52460,21693173
2026-08-02,06-09-52,Sunday,3551340,Football Manager 26,40572,51678,23018443
2026-08-02,06-09-52,Sunday,394360,Hearts of Iron IV,40601,62973,29217401
2026-08-02,06-09-52,Sunday,1366800,Crosshair X,41252,46093,26372210
2026-08-02,06-09-52,Sunday,1085660,Destiny 2,42900,91935,36281093
2026-08-02,06-09-52,Sunday,1623730,Palworld,477932,956613,311364067
2026-08-02,06-09-52,Sunday,236390,War Thunder,47993,81949,36934484
2026-08-02,06-09-52,Sunday,438100,VRChat,51736,63891,33782601
2026-08-02,06-09-52,Sunday,431960,Wallpaper Engine,51821,127765,59213732
2026-08-02,06-09-52,Sunday,413150,Stardew Valley,52609,125051,50143272
2026-08-02,06-09-52,Sunday,221100,DayZ,53642,64772,27382032
2026-08-02,06-09-52,Sunday,1091500,Cyberpunk 2077,53960,101348,39988667
2026-08-02,06-09-52,Sunday,322170,Geometry Dash,54884,69815,34794494
2026-08-02,06-09-52,Sunday,2357570,Overwatch®,55074,74964,36056125
2026-08-02,06-09-52,Sunday,2868840,Slay the Spire 2,55332,124547,50380666
2026-08-02,06-09-52,Sunday,440,Team Fortress 2,57680,67731,35872534
2026-08-02,06-09-52,Sunday,230410,Warframe,58914,157162,44055790
2026-08-02,06-09-52,Sunday,3240220,Grand Theft Auto V Enhanced,59354,160737,55572104
2026-08-02,06-09-52,Sunday,1086940,Baldur's Gate 3,67658,78225,33586204
2026-08-02,06-09-52,Sunday,570,Dota 2,693275,860019,407780493
2026-08-02,06-09-52,Sunday,2807960,Battlefield™ 6,69902,84038,30211731
2026-08-02,06-09-52,Sunday,1172470,Apex Legends™,71000,214120,72986112
2026-08-02,06-09-52,Sunday,359550,Tom Clancy's Rainbow Six Siege,71851,75845,38268904
2026-08-02,06-09-52,Sunday,271590,Grand Theft Auto V Legacy,72413,102170,51237286
2026-08-02,06-09-52,Sunday,250900,The Binding of Isaac: Rebirth,74899,155966,69802112
2026-08-02,06-09-52,Sunday,381210,Dead by Daylight,75479,121937,52176788
2026-08-02,06-09-52,Sunday,730,Counter-Strike 2,941496,1412937,632794368
2026-08-02,06-09-52,Sunday,238960,Path of Exile,98001,187116,21449978
