snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-06-25,00-16-23,Thursday,2507950,Delta Force,100424,143895,49503711
2026-06-25,00-16-23,Thursday,3405690,EA SPORTS FC™ 26,113319,134567,46414759
2026-06-25,00-16-23,Thursday,252490,Rust,113476,219164,76711721
2026-06-25,00-16-23,Thursday,431960,Wallpaper Engine,117188,135883,60583896
2026-06-25,00-16-23,Thursday,2868840,Slay the Spire 2,121592,170694,63941623
2026-06-25,00-16-23,Thursday,730,Counter-Strike 2,1405257,1573727,679455238
2026-06-25,00-16-23,Thursday,2676230,FiveM,145477,206159,93556252
2026-06-25,00-16-23,Thursday,2694490,Path of Exile 2,149864,420409,125769893
2026-06-25,00-16-23,Thursday,3419430,Bongo Cat,163175,180178,109744746
2026-06-25,00-16-23,Thursday,892970,Valheim,16730,31485,11186235
2026-06-25,00-16-23,Thursday,1172470,Apex Legends™,168851,264186,81141620
2026-06-25,00-16-23,Thursday,252950,Rocket League,17114,34370,13085921
2026-06-25,00-16-23,Thursday,2050650,Resident Evil 4,17363,30581,9490906
2026-06-25,00-16-23,Thursday,629520,Soundpad,17546,21553,10399354
2026-06-25,00-16-23,Thursday,1446780,MONSTER HUNTER RISE,17605,27833,6778814
2026-06-25,00-16-23,Thursday,582660,Black Desert,17961,21750,12544652
2026-06-25,00-16-23,Thursday,2252570,Football Manager 2024,17962,25045,11389392
2026-06-25,00-16-23,Thursday,427520,Factorio,18643,27322,12037410
2026-06-25,00-16-23,Thursday,3564740,Where Winds Meet,18786,33572,11665002
2026-06-25,00-16-23,Thursday,766570,Russian Fishing 4,19112,25894,10312104
2026-06-25,00-16-23,Thursday,1158310,Crusader Kings III,19573,26178,12134701
2026-06-25,00-16-23,Thursday,813780,Age of Empires II: Definitive Edition,19693,28418,12902427
2026-06-25,00-16-23,Thursday,3513350,Wuthering Waves,19836,49485,13506764
2026-06-25,00-16-23,Thursday,281990,Stellaris,19851,29566,10749158
2026-06-25,00-16-23,Thursday,3321460,Crimson Desert,20150,52689,18475638
2026-06-25,00-16-23,Thursday,2073620,Arena Breakout: Infinite,20359,30337,12778438
2026-06-25,00-16-23,Thursday,457140,Oxygen Not Included,20503,27310,8615488
2026-06-25,00-16-23,Thursday,2445690,Lost Castle 2,20759,28694,3761229
2026-06-25,00-16-23,Thursday,3932890,Escape from Tarkov,20927,28706,12129609
2026-06-25,00-16-23,Thursday,526870,Satisfactory,21006,42984,14833386
2026-06-25,00-16-23,Thursday,1665460,eFootball™,22635,32892,12049560
2026-06-25,00-16-23,Thursday,284160,BeamNG.drive,22766,31348,13902632
2026-06-25,00-16-23,Thursday,250900,The Binding of Isaac: Rebirth,22924,26326,13660142
2026-06-25,00-16-23,Thursday,1671210,DELTARUNE,230386,276013,3823282
2026-06-25,00-16-23,Thursday,346110,ARK: Survival Evolved,23194,32459,13842787
2026-06-25,00-16-23,Thursday,2399830,ARK: Survival Ascended,23357,41220,18118143
2026-06-25,00-16-23,Thursday,550,Left 4 Dead 2,23516,41328,17087140
2026-06-25,00-16-23,Thursday,1297900,Gothic 1 Remake,23533,70211,10495536
2026-06-25,00-16-23,Thursday,489830,The Elder Scrolls V: Skyrim Special Edition,24721,40909,18131894
2026-06-25,00-16-23,Thursday,594650,Hunt: Showdown 1896,25761,43371,12783203
2026-06-25,00-16-23,Thursday,1142710,Total War: WARHAMMER III,25978,43219,18006298
2026-06-25,00-16-23,Thursday,2622380,ELDEN RING NIGHTREIGN,26084,43207,13750409
2026-06-25,00-16-23,Thursday,261550,Mount & Blade II: Bannerlord,26164,35391,14672988
2026-06-25,00-16-23,Thursday,4000,Garry's Mod,26483,37806,16974742
2026-06-25,00-16-23,Thursday,292030,The Witcher 3: Wild Hunt,26622,33384,10939680
2026-06-25,00-16-23,Thursday,2300320,Farming Simulator 25,27026,47652,16232458
2026-06-25,00-16-23,Thursday,108600,Project Zomboid,27551,38576,18252919
2026-06-25,00-16-23,Thursday,1905180,OBS Studio,27616,31307,14149755
2026-06-25,00-16-23,Thursday,1938090,Call of Duty®,28211,50405,21956765
