snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-08-23,17-45-14,Sunday,4001890,How to Fish,131954,134451,646641
2026-08-23,17-45-14,Sunday,8930,Sid Meier's Civilization V,13610,19307,9534581
2026-08-23,17-45-14,Sunday,892970,Valheim,14082,35085,11902815
2026-08-23,17-45-14,Sunday,2142790,Fields of Mistria,14199,39049,9956466
2026-08-23,17-45-14,Sunday,2436940,Sephiria,14445,34453,7542517
2026-08-23,17-45-14,Sunday,2139460,Once Human,14491,19515,9088900
2026-08-23,17-45-14,Sunday,3241660,R.E.P.O.,14631,40259,16582860
2026-08-23,17-45-14,Sunday,1665460,eFootball™,15027,35320,14974757
2026-08-23,17-45-14,Sunday,3419430,Bongo Cat,159529,181650,104976098
2026-08-23,17-45-14,Sunday,304930,Unturned,16305,21382,10188434
2026-08-23,17-45-14,Sunday,526870,Satisfactory,16383,31872,12263607
2026-08-23,17-45-14,Sunday,594650,Hunt: Showdown 1896,16607,31494,11045166
2026-08-23,17-45-14,Sunday,3513350,Wuthering Waves,16953,26565,8633263
2026-08-23,17-45-14,Sunday,292030,The Witcher 3: Wild Hunt,16987,27569,10901997
2026-08-23,17-45-14,Sunday,1172470,Apex Legends™,170507,291356,88847664
2026-08-23,17-45-14,Sunday,1049590,Eternal Return,17401,27157,7268371
2026-08-23,17-45-14,Sunday,1085660,Destiny 2,17402,54448,21718245
2026-08-23,17-45-14,Sunday,2252570,Football Manager 2024,17596,23144,10863668
2026-08-23,17-45-14,Sunday,3564740,Where Winds Meet,17613,30141,10350309
2026-08-23,17-45-14,Sunday,582010,Monster Hunter: World,17757,31441,10958231
2026-08-23,17-45-14,Sunday,2246340,Monster Hunter Wilds,17886,28164,10737896
2026-08-23,17-45-14,Sunday,2694490,Path of Exile 2,17988,43318,16077063
2026-08-23,17-45-14,Sunday,1938090,Call of Duty®,18128,47134,20227927
2026-08-23,17-45-14,Sunday,284160,BeamNG.drive,18211,47238,16007810
2026-08-23,17-45-14,Sunday,813780,Age of Empires II: Definitive Edition,18242,25543,12341720
2026-08-23,17-45-14,Sunday,1808500,ARC Raiders,18521,47850,17950213
2026-08-23,17-45-14,Sunday,1623730,Palworld,187517,811445,249171561
2026-08-23,17-45-14,Sunday,427520,Factorio,18771,27350,12603915
2026-08-23,17-45-14,Sunday,376210,The Isle,18892,25071,10550940
2026-08-23,17-45-14,Sunday,766570,Russian Fishing 4,19035,21560,9319149
2026-08-23,17-45-14,Sunday,2483190,Forza Horizon 6,19667,45973,15417447
2026-08-23,17-45-14,Sunday,1771300,Kingdom Come: Deliverance II,19717,25113,9391866
2026-08-23,17-45-14,Sunday,550,Left 4 Dead 2,19903,40710,19315147
2026-08-23,17-45-14,Sunday,346110,ARK: Survival Evolved,20132,29419,13158891
2026-08-23,17-45-14,Sunday,2622380,ELDEN RING NIGHTREIGN,20962,35640,11951973
2026-08-23,17-45-14,Sunday,4000,Garry's Mod,21111,38695,18986690
2026-08-23,17-45-14,Sunday,3472040,NBA 2K26,21175,37166,13735481
2026-08-23,17-45-14,Sunday,1905180,OBS Studio,21453,33348,15285917
2026-08-23,17-45-14,Sunday,489830,The Elder Scrolls V: Skyrim Special Edition,22478,44516,19579349
2026-08-23,17-45-14,Sunday,1222670,The Sims™ 4,22551,36895,18023963
2026-08-23,17-45-14,Sunday,2073620,Arena Breakout: Infinite,22716,41704,18159364
2026-08-23,17-45-14,Sunday,582660,Black Desert,23087,29271,15844307
2026-08-23,17-45-14,Sunday,1158310,Crusader Kings III,23204,32593,14846431
2026-08-23,17-45-14,Sunday,2399830,ARK: Survival Ascended,24033,43384,18391745
2026-08-23,17-45-14,Sunday,1364780,Street Fighter™ 6,24088,64114,13824510
2026-08-23,17-45-14,Sunday,1174180,Red Dead Redemption 2,28851,49405,19656704
2026-08-23,17-45-14,Sunday,238960,Path of Exile,28897,187116,42376286
2026-08-23,17-45-14,Sunday,1643320,S.T.A.L.K.E.R. 2: Heart of Chornobyl,30332,38989,4163517
2026-08-23,17-45-14,Sunday,1245620,ELDEN RING,30368,43894,20599063
2026-08-23,17-45-14,Sunday,1366800,Crosshair X,31887,44871,25496261
2026-08-23,17-45-14,Sunday,294100,RimWorld,31979,39864,20128959
2026-08-23,17-45-14,Sunday,1281930,tModLoader,32071,43234,20027356
2026-08-23,17-45-14,Sunday,251570,7 Days to Die,32079,50376,20283994
2026-08-23,17-45-14,Sunday,3932890,Escape from Tarkov,33418,45572,18399940
2026-08-23,17-45-14,Sunday,1973530,Limbus Company,34371,71489,21640245
2026-08-23,17-45-14,Sunday,221100,DayZ,34432,64772,26393985
2026-08-23,17-45-14,Sunday,322170,Geometry Dash,34547,62667,31316679
2026-08-23,17-45-14,Sunday,218620,PAYDAY 2,34586,35108,20868303
2026-08-23,17-45-14,Sunday,3527290,PEAK,35948,122714,25065906
2026-08-23,17-45-14,Sunday,227300,Euro Truck Simulator 2,36323,50488,19567089
2026-08-23,17-45-14,Sunday,2300320,Farming Simulator 25,36331,53899,19253026
2026-08-23,17-45-14,Sunday,1142710,Total War: WARHAMMER III,36878,48063,18027577
2026-08-23,17-45-14,Sunday,261550,Mount & Blade II: Bannerlord,37943,46367,19368351
2026-08-23,17-45-14,Sunday,3551340,Football Manager 26,38642,52384,23724235
2026-08-23,17-45-14,Sunday,289070,Sid Meier's Civilization VI,39572,48652,22457472
2026-08-23,17-45-14,Sunday,381210,Dead by Daylight,40924,99887,43355245
2026-08-23,17-45-14,Sunday,2358720,Black Myth: Wukong,41700,45694,9645616
2026-08-23,17-45-14,Sunday,359550,Tom Clancy's Rainbow Six Siege,43407,98704,42549532
2026-08-23,17-45-14,Sunday,394360,Hearts of Iron IV,43782,59740,27875386
2026-08-23,17-45-14,Sunday,2807960,Battlefield™ 6,44119,84038,32978543
2026-08-23,17-45-14,Sunday,2357570,Overwatch®,45114,100564,39343687
2026-08-23,17-45-14,Sunday,322330,Don't Starve Together,45590,66866,22140878
2026-08-23,17-45-14,Sunday,1203220,NARAKA: BLADEPOINT,45789,105783,25105790
2026-08-23,17-45-14,Sunday,1091500,Cyberpunk 2077,46299,82779,34595516
2026-08-23,17-45-14,Sunday,438100,VRChat,47053,63891,34373014
2026-08-23,17-45-14,Sunday,1086940,Baldur's Gate 3,47083,83011,35687971
2026-08-23,17-45-14,Sunday,440,Team Fortress 2,48323,63045,37033951
2026-08-23,17-45-14,Sunday,578080,PUBG: BATTLEGROUNDS,487101,792142,240209599
2026-08-23,17-45-14,Sunday,2767030,Marvel Rivals,50511,144922,60905309
2026-08-23,17-45-14,Sunday,553850,HELLDIVERS™ 2,53058,144799,32019251
2026-08-23,17-45-14,Sunday,230410,Warframe,56079,77697,40965238
2026-08-23,17-45-14,Sunday,105600,Terraria,56600,71405,22551805
2026-08-23,17-45-14,Sunday,3405690,EA SPORTS FC™ 26,58174,159730,63194274
2026-08-23,17-45-14,Sunday,236390,War Thunder,58853,81949,36712446
2026-08-23,17-45-14,Sunday,3240220,Grand Theft Auto V Enhanced,61616,112640,43546516
2026-08-23,17-45-14,Sunday,108600,Project Zomboid,68194,124506,49682623
2026-08-23,17-45-14,Sunday,570,Dota 2,699159,949773,438296848
2026-08-23,17-45-14,Sunday,2868840,Slay the Spire 2,71050,105305,46685754
2026-08-23,17-45-14,Sunday,271590,Grand Theft Auto V Legacy,74643,97057,46427112
2026-08-23,17-45-14,Sunday,250900,The Binding of Isaac: Rebirth,74694,128063,57672646
2026-08-23,17-45-14,Sunday,413150,Stardew Valley,76443,114279,46729260
2026-08-23,17-45-14,Sunday,730,Counter-Strike 2,870757,1285624,601329686
2026-08-23,17-45-14,Sunday,2507950,Delta Force,87553,131021,48142431
2026-08-23,17-45-14,Sunday,252490,Rust,89530,196181,74866093
2026-08-23,17-45-14,Sunday,2676230,FiveM,91593,195982,93759907
2026-08-23,17-45-14,Sunday,3678970,TBH: Task Bar Hero,94584,248410,101299453
2026-08-23,17-45-14,Sunday,431960,Wallpaper Engine,97830,114408,56266556
