snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-09-20,07-08-48,Sunday,252490,Rust,101843,148276,65065444
2026-09-20,07-08-48,Sunday,4126040,Aniimo,130162,151081,6929240
2026-09-20,07-08-48,Sunday,3949040,RV There Yet?,13280,23131,3078680
2026-09-20,07-08-48,Sunday,346110,ARK: Survival Evolved,13301,27239,11408897
2026-09-20,07-08-48,Sunday,377160,Fallout 4,13415,17785,8204672
2026-09-20,07-08-48,Sunday,2483190,Forza Horizon 6,13566,38317,12364022
2026-09-20,07-08-48,Sunday,1476970,IdleOn - The Idle RPG,13648,19188,9666860
2026-09-20,07-08-48,Sunday,3419430,Bongo Cat,137652,181650,108024344
2026-09-20,07-08-48,Sunday,578080,PUBG: BATTLEGROUNDS,139095,788224,232131944
2026-09-20,07-08-48,Sunday,1874880,Arma Reforger,14031,23109,8143444
2026-09-20,07-08-48,Sunday,291550,Brawlhalla,14062,16950,7583941
2026-09-20,07-08-48,Sunday,2073850,THE FINALS,14144,20597,8415916
2026-09-20,07-08-48,Sunday,304930,Unturned,14264,18631,10196666
2026-09-20,07-08-48,Sunday,629520,Soundpad,14403,19270,9368046
2026-09-20,07-08-48,Sunday,2252570,Football Manager 2024,14479,22974,10753331
2026-09-20,07-08-48,Sunday,1172710,Dune: Awakening,14736,17046,3348260
2026-09-20,07-08-48,Sunday,2638890,Onimusha: Way of the Sword,14778,76061,9052102
2026-09-20,07-08-48,Sunday,8930,Sid Meier's Civilization V,15556,19414,9686163
2026-09-20,07-08-48,Sunday,1285190,Borderlands 4,15622,29331,5222132
2026-09-20,07-08-48,Sunday,3932890,Escape from Tarkov,16414,42072,17432211
2026-09-20,07-08-48,Sunday,526870,Satisfactory,16599,25918,10490020
2026-09-20,07-08-48,Sunday,1281930,tModLoader,17058,41936,17737366
2026-09-20,07-08-48,Sunday,1085660,Destiny 2,17264,28157,12673286
2026-09-20,07-08-48,Sunday,2676230,FiveM,174198,211657,96230542
2026-09-20,07-08-48,Sunday,594650,Hunt: Showdown 1896,17574,39626,12174959
2026-09-20,07-08-48,Sunday,376210,The Isle,18488,27843,13670648
2026-09-20,07-08-48,Sunday,1905180,OBS Studio,18999,34448,15172197
2026-09-20,07-08-48,Sunday,427520,Factorio,19492,27275,12132183
2026-09-20,07-08-48,Sunday,813780,Age of Empires II: Definitive Edition,19737,26302,12481007
2026-09-20,07-08-48,Sunday,3321460,Crimson Desert,19940,44164,14230163
2026-09-20,07-08-48,Sunday,1158310,Crusader Kings III,20430,32966,14323543
2026-09-20,07-08-48,Sunday,1665460,eFootball™,20607,30421,13519378
2026-09-20,07-08-48,Sunday,284160,BeamNG.drive,20618,30413,13316823
2026-09-20,07-08-48,Sunday,261550,Mount & Blade II: Bannerlord,21073,50302,20218121
2026-09-20,07-08-48,Sunday,892970,Valheim,217350,307757,46588987
2026-09-20,07-08-48,Sunday,4001890,How to Fish,22037,373887,49964697
2026-09-20,07-08-48,Sunday,582660,Black Desert,22287,29059,15387504
2026-09-20,07-08-48,Sunday,3527290,PEAK,22481,75579,23127479
2026-09-20,07-08-48,Sunday,3241660,R.E.P.O.,22565,34966,13466213
2026-09-20,07-08-48,Sunday,3751260,The Blood of Dawnwalker,22842,77689,10015584
2026-09-20,07-08-48,Sunday,2399830,ARK: Survival Ascended,22995,40202,16917916
2026-09-20,07-08-48,Sunday,251570,7 Days to Die,23965,48686,18919101
2026-09-20,07-08-48,Sunday,2139460,Once Human,23967,34587,15323636
2026-09-20,07-08-48,Sunday,252950,Rocket League,25543,30993,12417336
2026-09-20,07-08-48,Sunday,1973530,Limbus Company,25731,130870,22632040
2026-09-20,07-08-48,Sunday,294100,RimWorld,26218,38695,19331705
2026-09-20,07-08-48,Sunday,2246340,Monster Hunter Wilds,26365,59288,14145017
2026-09-20,07-08-48,Sunday,227300,Euro Truck Simulator 2,27013,54431,19769695
2026-09-20,07-08-48,Sunday,289070,Sid Meier's Civilization VI,27099,50548,22014136
2026-09-20,07-08-48,Sunday,1222670,The Sims™ 4,27134,36748,16861343
2026-09-20,07-08-48,Sunday,1808500,ARC Raiders,27358,38494,16027306
2026-09-20,07-08-48,Sunday,550,Left 4 Dead 2,28028,40053,17307517
2026-09-20,07-08-48,Sunday,1142710,Total War: WARHAMMER III,28276,51034,21140279
2026-09-20,07-08-48,Sunday,4000,Garry's Mod,28843,38810,16773807
2026-09-20,07-08-48,Sunday,1174180,Red Dead Redemption 2,29508,61287,23797622
2026-09-20,07-08-48,Sunday,2300320,Farming Simulator 25,29557,58907,19540286
2026-09-20,07-08-48,Sunday,489830,The Elder Scrolls V: Skyrim Special Edition,30521,39584,17804637
2026-09-20,07-08-48,Sunday,3551340,Football Manager 26,30969,54453,24151129
2026-09-20,07-08-48,Sunday,1091500,Cyberpunk 2077,31559,61521,25799528
2026-09-20,07-08-48,Sunday,1374490,RuneScape: Dragonwilds,31646,33303,3971218
2026-09-20,07-08-48,Sunday,1245620,ELDEN RING,32870,54228,23302314
2026-09-20,07-08-48,Sunday,105600,Terraria,33111,76409,32656870
2026-09-20,07-08-48,Sunday,2507950,Delta Force,33150,145637,47429005
2026-09-20,07-08-48,Sunday,218620,PAYDAY 2,33756,36658,21978603
2026-09-20,07-08-48,Sunday,2073620,Arena Breakout: Infinite,33783,43170,17436835
2026-09-20,07-08-48,Sunday,1867240,WARDOGS,346854,383572,22138750
2026-09-20,07-08-48,Sunday,394360,Hearts of Iron IV,36397,62661,26064699
2026-09-20,07-08-48,Sunday,1366800,Crosshair X,36720,45921,23893037
2026-09-20,07-08-48,Sunday,1938090,Call of Duty®,37536,45299,18504845
2026-09-20,07-08-48,Sunday,2807960,Battlefield™ 6,38314,75918,27305344
2026-09-20,07-08-48,Sunday,2344520,Diablo® IV,38943,57627,6715156
2026-09-20,07-08-48,Sunday,221100,DayZ,42531,62310,25540926
2026-09-20,07-08-48,Sunday,413150,Stardew Valley,42874,103983,39816210
2026-09-20,07-08-48,Sunday,431960,Wallpaper Engine,44339,117596,53870916
2026-09-20,07-08-48,Sunday,3405690,EA SPORTS FC™ 26,44785,104731,41531946
2026-09-20,07-08-48,Sunday,275850,No Man's Sky,45089,55464,12218701
2026-09-20,07-08-48,Sunday,230410,Warframe,45720,75979,38187268
2026-09-20,07-08-48,Sunday,3240220,Grand Theft Auto V Enhanced,45918,99893,40118314
2026-09-20,07-08-48,Sunday,2868840,Slay the Spire 2,46754,105197,45615134
2026-09-20,07-08-48,Sunday,271590,Grand Theft Auto V Legacy,46871,96078,40939962
2026-09-20,07-08-48,Sunday,250900,The Binding of Isaac: Rebirth,46880,99763,44859351
2026-09-20,07-08-48,Sunday,236390,War Thunder,47856,100117,39038621
2026-09-20,07-08-48,Sunday,553850,HELLDIVERS™ 2,48708,95179,37741381
2026-09-20,07-08-48,Sunday,2694490,Path of Exile 2,49001,147624,31420918
2026-09-20,07-08-48,Sunday,438100,VRChat,49615,64781,33344621
2026-09-20,07-08-48,Sunday,322170,Geometry Dash,49772,66023,28733748
2026-09-20,07-08-48,Sunday,381210,Dead by Daylight,55952,81470,38100073
2026-09-20,07-08-48,Sunday,1086940,Baldur's Gate 3,57300,81599,33545831
2026-09-20,07-08-48,Sunday,570,Dota 2,577923,981123,444515916
2026-09-20,07-08-48,Sunday,108600,Project Zomboid,62022,115923,47955121
2026-09-20,07-08-48,Sunday,3678970,TBH: Task Bar Hero,64502,112237,59540807
2026-09-20,07-08-48,Sunday,440,Team Fortress 2,66265,77668,38875939
2026-09-20,07-08-48,Sunday,1623730,Palworld,69432,242723,84403206
2026-09-20,07-08-48,Sunday,1172470,Apex Legends™,70867,274970,89304370
2026-09-20,07-08-48,Sunday,2357570,Overwatch®,75129,121938,43650241
2026-09-20,07-08-48,Sunday,730,Counter-Strike 2,799122,1346485,602409289
2026-09-20,07-08-48,Sunday,359550,Tom Clancy's Rainbow Six Siege,91433,120267,48720844
2026-09-20,07-08-48,Sunday,2767030,Marvel Rivals,98472,146426,53042052
