snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-07-25,15-26-19,Saturday,238960,Path of Exile,103755,187116,6476308
2026-07-25,15-26-19,Saturday,457140,Oxygen Not Included,12616,23266,8932385
2026-07-25,15-26-19,Saturday,892970,Valheim,12707,34133,12804045
2026-07-25,15-26-19,Saturday,1172470,Apex Legends™,129366,213952,70323582
2026-07-25,15-26-19,Saturday,2344520,Diablo® IV,12942,42469,12496658
2026-07-25,15-26-19,Saturday,1431300,SAND: Raiders of Sophie,12977,41251,11703635
2026-07-25,15-26-19,Saturday,1868140,DAVE THE DIVER,13256,51132,13320369
2026-07-25,15-26-19,Saturday,292030,The Witcher 3: Wild Hunt,13384,36591,13155504
2026-07-25,15-26-19,Saturday,1665460,eFootball™,13389,28922,12730992
2026-07-25,15-26-19,Saturday,387990,Scrap Mechanic,13435,35020,1390181
2026-07-25,15-26-19,Saturday,304930,Unturned,13700,16826,9454105
2026-07-25,15-26-19,Saturday,766570,Russian Fishing 4,13868,20755,8934044
2026-07-25,15-26-19,Saturday,1771300,Kingdom Come: Deliverance II,14114,29234,11095495
2026-07-25,15-26-19,Saturday,2358720,Black Myth: Wukong,14136,17727,6338013
2026-07-25,15-26-19,Saturday,284160,BeamNG.drive,14146,29527,14249005
2026-07-25,15-26-19,Saturday,2252570,Football Manager 2024,14170,22160,10598183
2026-07-25,15-26-19,Saturday,427520,Factorio,14463,28183,12572388
2026-07-25,15-26-19,Saturday,594650,Hunt: Showdown 1896,14862,33468,11734162
2026-07-25,15-26-19,Saturday,3419430,Bongo Cat,149307,187676,111198270
2026-07-25,15-26-19,Saturday,526870,Satisfactory,15394,34281,14104787
2026-07-25,15-26-19,Saturday,813780,Age of Empires II: Definitive Edition,15575,26588,12377272
2026-07-25,15-26-19,Saturday,582660,Black Desert,16021,21043,11957859
2026-07-25,15-26-19,Saturday,1158310,Crusader Kings III,16540,29055,13893052
2026-07-25,15-26-19,Saturday,4025700,Heartopia,16591,22159,7687821
2026-07-25,15-26-19,Saturday,3722330,Shift At Midnight,17166,23529,566437
2026-07-25,15-26-19,Saturday,219990,Grim Dawn,17356,23509,3683088
2026-07-25,15-26-19,Saturday,3564740,Where Winds Meet,17612,30007,9771417
2026-07-25,15-26-19,Saturday,3241660,R.E.P.O.,17722,53549,19696004
2026-07-25,15-26-19,Saturday,2300320,Farming Simulator 25,17894,52451,17914016
2026-07-25,15-26-19,Saturday,1222670,The Sims™ 4,18316,37217,18082441
2026-07-25,15-26-19,Saturday,2246340,Monster Hunter Wilds,18317,38433,12913203
2026-07-25,15-26-19,Saturday,346110,ARK: Survival Evolved,19310,29972,13823287
2026-07-25,15-26-19,Saturday,1905180,OBS Studio,19401,31953,14293446
2026-07-25,15-26-19,Saturday,4000,Garry's Mod,19474,35477,17519657
2026-07-25,15-26-19,Saturday,489830,The Elder Scrolls V: Skyrim Special Edition,20131,41579,18473143
2026-07-25,15-26-19,Saturday,227300,Euro Truck Simulator 2,20220,55152,20989660
