snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-07-16,12-20-59,Thursday,8930,Sid Meier's Civilization V,10059,19223,9138109
2026-07-16,12-20-59,Thursday,2923300,Banana,10168,20077,8402860
2026-07-16,12-20-59,Thursday,304930,Unturned,10213,17688,9321447
2026-07-16,12-20-59,Thursday,291550,Brawlhalla,10294,15485,7098924
2026-07-16,12-20-59,Thursday,1623660,MIR4,10559,11840,7767466
2026-07-16,12-20-59,Thursday,376210,The Isle,10965,20243,8669166
2026-07-16,12-20-59,Thursday,2676230,FiveM,111740,191998,90923088
2026-07-16,12-20-59,Thursday,1771300,Kingdom Come: Deliverance II,11285,29234,10013092
2026-07-16,12-20-59,Thursday,1364780,Street Fighter™ 6,11321,41413,12865169
2026-07-16,12-20-59,Thursday,281990,Stellaris,11352,29566,12013200
2026-07-16,12-20-59,Thursday,945360,Among Us,11523,14990,6451139
2026-07-16,12-20-59,Thursday,3164500,Schedule I,11731,24717,8482133
2026-07-16,12-20-59,Thursday,2246340,Monster Hunter Wilds,12048,44385,14376296
2026-07-16,12-20-59,Thursday,2300320,Farming Simulator 25,12076,52446,16935506
2026-07-16,12-20-59,Thursday,2767030,Marvel Rivals,121781,196974,58185972
2026-07-16,12-20-59,Thursday,3419430,Bongo Cat,124278,187676,109840426
2026-07-16,12-20-59,Thursday,582010,Monster Hunter: World,12710,51821,14921077
2026-07-16,12-20-59,Thursday,227300,Euro Truck Simulator 2,12761,55152,19203199
2026-07-16,12-20-59,Thursday,427520,Factorio,12792,28183,12397172
2026-07-16,12-20-59,Thursday,2622380,ELDEN RING NIGHTREIGN,12904,40755,13095369
2026-07-16,12-20-59,Thursday,1304930,The Outlast Trials,12949,15453,4183434
2026-07-16,12-20-59,Thursday,1361210,"Warhammer 40,000: Darktide",13073,56866,12493619
2026-07-16,12-20-59,Thursday,1671210,DELTARUNE,13156,290973,16677027
2026-07-16,12-20-59,Thursday,3513350,Wuthering Waves,13247,39867,12146672
2026-07-16,12-20-59,Thursday,284160,BeamNG.drive,13727,29527,13960047
2026-07-16,12-20-59,Thursday,582660,Black Desert,14139,21043,11799156
2026-07-16,12-20-59,Thursday,526870,Satisfactory,14221,34281,14372487
2026-07-16,12-20-59,Thursday,3932890,Escape from Tarkov,14349,31530,12657847
2026-07-16,12-20-59,Thursday,3527290,PEAK,14366,24784,10036604
2026-07-16,12-20-59,Thursday,892970,Valheim,14592,34133,12140637
2026-07-16,12-20-59,Thursday,813780,Age of Empires II: Definitive Edition,14615,26588,12342059
2026-07-16,12-20-59,Thursday,1158310,Crusader Kings III,14688,28978,13086291
2026-07-16,12-20-59,Thursday,1905180,OBS Studio,14876,30663,14001263
2026-07-16,12-20-59,Thursday,2344520,Diablo® IV,14969,42469,10695999
2026-07-16,12-20-59,Thursday,2073620,Arena Breakout: Infinite,15280,37538,14325327
2026-07-16,12-20-59,Thursday,2073850,THE FINALS,15500,28265,8421898
2026-07-16,12-20-59,Thursday,346110,ARK: Survival Evolved,15691,29288,13445407
2026-07-16,12-20-59,Thursday,3551340,Football Manager 26,16186,47291,21321701
2026-07-16,12-20-59,Thursday,1142710,Total War: WARHAMMER III,16568,38836,16437973
2026-07-16,12-20-59,Thursday,252950,Rocket League,16737,30510,12103405
2026-07-16,12-20-59,Thursday,261550,Mount & Blade II: Bannerlord,18082,46397,17263854
2026-07-16,12-20-59,Thursday,4000,Garry's Mod,18285,35300,16943923
2026-07-16,12-20-59,Thursday,578080,PUBG: BATTLEGROUNDS,190834,820499,232006186
2026-07-16,12-20-59,Thursday,3472040,NBA 2K26,20118,46337,18794762
2026-07-16,12-20-59,Thursday,2399830,ARK: Survival Ascended,20598,49602,19835321
2026-07-16,12-20-59,Thursday,1222670,The Sims™ 4,20856,37217,17799279
2026-07-16,12-20-59,Thursday,2483190,Forza Horizon 6,21343,102892,30111113
2026-07-16,12-20-59,Thursday,1281930,tModLoader,21364,42799,19377083
2026-07-16,12-20-59,Thursday,289070,Sid Meier's Civilization VI,22325,48822,21305038
2026-07-16,12-20-59,Thursday,489830,The Elder Scrolls V: Skyrim Special Edition,22725,41579,18190826
2026-07-16,12-20-59,Thursday,3241660,R.E.P.O.,22821,61347,22223614
2026-07-16,12-20-59,Thursday,322330,Don't Starve Together,23344,121538,34364900
2026-07-16,12-20-59,Thursday,221100,DayZ,23615,63731,26285878
2026-07-16,12-20-59,Thursday,294100,RimWorld,23800,42137,20380090
2026-07-16,12-20-59,Thursday,108600,Project Zomboid,24284,40631,18757668
2026-07-16,12-20-59,Thursday,1245620,ELDEN RING,24442,47625,22159948
2026-07-16,12-20-59,Thursday,3678970,TBH: Task Bar Hero,248411,545349,299658933
2026-07-16,12-20-59,Thursday,251570,7 Days to Die,25447,64791,24305101
2026-07-16,12-20-59,Thursday,394360,Hearts of Iron IV,26131,66913,28879780
2026-07-16,12-20-59,Thursday,1808500,ARC Raiders,26918,56885,22460861
2026-07-16,12-20-59,Thursday,553850,HELLDIVERS™ 2,27328,45817,19900329
2026-07-16,12-20-59,Thursday,1174180,Red Dead Redemption 2,27364,52264,21002770
2026-07-16,12-20-59,Thursday,105600,Terraria,28246,48974,21593092
2026-07-16,12-20-59,Thursday,1938090,Call of Duty®,28878,52460,21453401
2026-07-16,12-20-59,Thursday,218620,PAYDAY 2,29903,36062,21419117
2026-07-16,12-20-59,Thursday,2807960,Battlefield™ 6,30184,63723,24512617
2026-07-16,12-20-59,Thursday,1366800,Crosshair X,32154,48938,26063601
2026-07-16,12-20-59,Thursday,570,Dota 2,331440,862639,365522023
2026-07-16,12-20-59,Thursday,881020,Granblue Fantasy: Relink,33954,89585,10607596
2026-07-16,12-20-59,Thursday,550,Left 4 Dead 2,34382,45681,19602407
2026-07-16,12-20-59,Thursday,236390,War Thunder,34548,87498,35772871
2026-07-16,12-20-59,Thursday,2694490,Path of Exile 2,37080,218009,74014215
2026-07-16,12-20-59,Thursday,1973530,Limbus Company,38444,157444,29765125
2026-07-16,12-20-59,Thursday,440,Team Fortress 2,38615,67731,31712393
2026-07-16,12-20-59,Thursday,322170,Geometry Dash,38951,74125,35782173
2026-07-16,12-20-59,Thursday,438100,VRChat,41088,62181,31694565
2026-07-16,12-20-59,Thursday,1086940,Baldur's Gate 3,41603,78225,30757659
2026-07-16,12-20-59,Thursday,271590,Grand Theft Auto V Legacy,41714,102170,49104414
2026-07-16,12-20-59,Thursday,1091500,Cyberpunk 2077,43393,101348,38426760
2026-07-16,12-20-59,Thursday,730,Counter-Strike 2,486250,1573727,641463021
2026-07-16,12-20-59,Thursday,2507950,Delta Force,51369,149617,52084003
2026-07-16,12-20-59,Thursday,2357570,Overwatch®,52128,102096,41215457
2026-07-16,12-20-59,Thursday,1623730,Palworld,532849,857455,96454664
2026-07-16,12-20-59,Thursday,413150,Stardew Valley,55434,125051,45806925
2026-07-16,12-20-59,Thursday,230410,Warframe,59034,157162,45534786
