snapshot_day,snapshot_time,Daysnap,appid,game,current_players,peak_players,Hours_played
2026-06-17,21-30-51,Wednesday,322330,Don't Starve Together,100595,107991,19720803
2026-06-17,21-30-51,Wednesday,2868840,Slay the Spire 2,106406,184320,67131801
2026-06-17,21-30-51,Wednesday,2507950,Delta Force,109773,151298,51121030
2026-06-17,21-30-51,Wednesday,252490,Rust,112557,219164,75080308
2026-06-17,21-30-51,Wednesday,431960,Wallpaper Engine,116419,135883,58340369
2026-06-17,21-30-51,Wednesday,2676230,FiveM,128479,206159,93821203
2026-06-17,21-30-51,Wednesday,730,Counter-Strike 2,1396908,1529542,679348067
2026-06-17,21-30-51,Wednesday,2694490,Path of Exile 2,155409,420409,103534946
2026-06-17,21-30-51,Wednesday,393380,Squad,16386,23804,8954954
2026-06-17,21-30-51,Wednesday,292030,The Witcher 3: Wild Hunt,16420,29023,9868689
2026-06-17,21-30-51,Wednesday,582660,Black Desert,16629,22607,12939439
2026-06-17,21-30-51,Wednesday,1158310,Crusader Kings III,16727,26178,12291622
2026-06-17,21-30-51,Wednesday,3419430,Bongo Cat,172288,182047,106491692
2026-06-17,21-30-51,Wednesday,1326470,Sons Of The Forest,17428,39638,8345153
2026-06-17,21-30-51,Wednesday,629520,Soundpad,17698,21553,10277406
2026-06-17,21-30-51,Wednesday,2252570,Football Manager 2024,17714,25045,11481040
2026-06-17,21-30-51,Wednesday,2584990,Shadowverse: Worlds Beyond,17783,17793,4057878
2026-06-17,21-30-51,Wednesday,813780,Age of Empires II: Definitive Edition,18231,28418,12823630
2026-06-17,21-30-51,Wednesday,2073620,Arena Breakout: Infinite,18672,30337,13023981
2026-06-17,21-30-51,Wednesday,1172470,Apex Legends™,187711,292553,85062292
2026-06-17,21-30-51,Wednesday,1325860,VTube Studio,18772,20079,7750053
2026-06-17,21-30-51,Wednesday,4128580,BidKing:竞拍之王,18876,44590,12590688
2026-06-17,21-30-51,Wednesday,281990,Stellaris,19058,21352,9772674
2026-06-17,21-30-51,Wednesday,1818450,STALCRAFT: X,19732,23708,7496411
2026-06-17,21-30-51,Wednesday,284160,BeamNG.drive,20570,31348,13718974
2026-06-17,21-30-51,Wednesday,1665460,eFootball™,20677,32892,11547919
2026-06-17,21-30-51,Wednesday,526870,Satisfactory,20832,42984,13738942
2026-06-17,21-30-51,Wednesday,250900,The Binding of Isaac: Rebirth,20889,26326,13528749
2026-06-17,21-30-51,Wednesday,766570,Russian Fishing 4,21579,25894,10122370
2026-06-17,21-30-51,Wednesday,3321460,Crimson Desert,21680,60216,21253084
2026-06-17,21-30-51,Wednesday,3564740,Where Winds Meet,21706,33572,11988860
2026-06-17,21-30-51,Wednesday,489830,The Elder Scrolls V: Skyrim Special Edition,21710,40909,17606882
2026-06-17,21-30-51,Wednesday,2300320,Farming Simulator 25,21715,47652,16112811
2026-06-17,21-30-51,Wednesday,457140,Oxygen Not Included,21817,27310,7342317
2026-06-17,21-30-51,Wednesday,550,Left 4 Dead 2,22209,42053,17197103
2026-06-17,21-30-51,Wednesday,1868140,DAVE THE DIVER,22449,23655,3817056
2026-06-17,21-30-51,Wednesday,346110,ARK: Survival Evolved,22778,32459,13624926
2026-06-17,21-30-51,Wednesday,3932890,Escape from Tarkov,22985,28706,11328290
2026-06-17,21-30-51,Wednesday,1222670,The Sims™ 4,23659,37962,17433022
2026-06-17,21-30-51,Wednesday,1446780,MONSTER HUNTER RISE,23989,27833,5653973
2026-06-17,21-30-51,Wednesday,4000,Garry's Mod,24351,37806,16490861
2026-06-17,21-30-51,Wednesday,3513350,Wuthering Waves,24451,49485,13354350
2026-06-17,21-30-51,Wednesday,2050650,Resident Evil 4,24622,30581,8065651
2026-06-17,21-30-51,Wednesday,2445690,Lost Castle 2,24696,28694,2173462
2026-06-17,21-30-51,Wednesday,2399830,ARK: Survival Ascended,24772,41220,18072384
2026-06-17,21-30-51,Wednesday,108600,Project Zomboid,24892,38576,18339363
2026-06-17,21-30-51,Wednesday,1142710,Total War: WARHAMMER III,24961,46409,18426700
2026-06-17,21-30-51,Wednesday,261550,Mount & Blade II: Bannerlord,25884,35391,14642364
2026-06-17,21-30-51,Wednesday,1297900,Gothic 1 Remake,26277,70211,6690618
2026-06-17,21-30-51,Wednesday,1938090,Call of Duty®,26609,50405,21798799
2026-06-17,21-30-51,Wednesday,218620,PAYDAY 2,27019,36506,21526662
2026-06-17,21-30-51,Wednesday,1905180,OBS Studio,27468,32027,13951848
2026-06-17,21-30-51,Wednesday,594650,Hunt: Showdown 1896,28916,43371,11944181
2026-06-17,21-30-51,Wednesday,227300,Euro Truck Simulator 2,29096,52339,18564717
2026-06-17,21-30-51,Wednesday,1174180,Red Dead Redemption 2,29483,49465,19449307
2026-06-17,21-30-51,Wednesday,1808500,ARC Raiders,29752,94179,33476776
2026-06-17,21-30-51,Wednesday,1091500,Cyberpunk 2077,30092,42842,18068123
2026-06-17,21-30-51,Wednesday,294100,RimWorld,30308,40253,19824813
2026-06-17,21-30-51,Wednesday,2622380,ELDEN RING NIGHTREIGN,31944,43207,13924234
2026-06-17,21-30-51,Wednesday,2807960,Battlefield™ 6,32485,64869,25815449
2026-06-17,21-30-51,Wednesday,1086940,Baldur's Gate 3,32834,69033,29556821
2026-06-17,21-30-51,Wednesday,1245620,ELDEN RING,33611,49524,22787413
2026-06-17,21-30-51,Wednesday,221100,DayZ,34133,64899,27165474
2026-06-17,21-30-51,Wednesday,105600,Terraria,34187,43334,18802154
2026-06-17,21-30-51,Wednesday,251570,7 Days to Die,35208,37361,14534688
2026-06-17,21-30-51,Wednesday,1281930,tModLoader,35625,45538,18130876
2026-06-17,21-30-51,Wednesday,3551340,Football Manager 26,35642,52865,22439810
2026-06-17,21-30-51,Wednesday,289070,Sid Meier's Civilization VI,36393,48603,21355359
2026-06-17,21-30-51,Wednesday,553850,HELLDIVERS™ 2,37212,45817,18674354
2026-06-17,21-30-51,Wednesday,838350,太吾绘卷 The Scroll Of Taiwu,37567,39112,769344
2026-06-17,21-30-51,Wednesday,1364780,Street Fighter™ 6,38215,72217,15422834
2026-06-17,21-30-51,Wednesday,1623730,Palworld,38575,51116,15418288
2026-06-17,21-30-51,Wednesday,3472040,NBA 2K26,39010,52826,20759712
2026-06-17,21-30-51,Wednesday,2246340,Monster Hunter Wilds,39276,47144,10301830
2026-06-17,21-30-51,Wednesday,1366800,Crosshair X,40354,50132,26288055
2026-06-17,21-30-51,Wednesday,2767030,Marvel Rivals,43526,129219,49281702
2026-06-17,21-30-51,Wednesday,438100,VRChat,44761,67859,32771348
2026-06-17,21-30-51,Wednesday,582010,Monster Hunter: World,46715,51821,11921582
2026-06-17,21-30-51,Wednesday,3241660,R.E.P.O.,47405,88245,32543009
2026-06-17,21-30-51,Wednesday,440,Team Fortress 2,49484,59589,34391293
2026-06-17,21-30-51,Wednesday,1973530,Limbus Company,50463,130546,28984524
2026-06-17,21-30-51,Wednesday,322170,Geometry Dash,51076,85801,37845737
2026-06-17,21-30-51,Wednesday,394360,Hearts of Iron IV,52274,71671,26638857
2026-06-17,21-30-51,Wednesday,3678970,TBH: Task Bar Hero,524506,537955,129359702
2026-06-17,21-30-51,Wednesday,359550,Tom Clancy's Rainbow Six Siege,52945,117909,46947304
2026-06-17,21-30-51,Wednesday,570,Dota 2,536596,697720,316980297
2026-06-17,21-30-51,Wednesday,3240220,Grand Theft Auto V Enhanced,56782,80679,32245081
2026-06-17,21-30-51,Wednesday,230410,Warframe,59564,77279,38340860
2026-06-17,21-30-51,Wednesday,236390,War Thunder,62934,84630,35468758
2026-06-17,21-30-51,Wednesday,1203220,NARAKA: BLADEPOINT,66874,78734,19329059
2026-06-17,21-30-51,Wednesday,2483190,Forza Horizon 6,74295,301394,95437246
2026-06-17,21-30-51,Wednesday,1085660,Destiny 2,78653,167867,27952099
2026-06-17,21-30-51,Wednesday,578080,PUBG: BATTLEGROUNDS,788119,788119,225419398
2026-06-17,21-30-51,Wednesday,2357570,Overwatch®,81815,102096,42150065
2026-06-17,21-30-51,Wednesday,413150,Stardew Valley,82187,128784,45745713
2026-06-17,21-30-51,Wednesday,271590,Grand Theft Auto V Legacy,83991,105223,46723031
2026-06-17,21-30-51,Wednesday,3405690,EA SPORTS FC™ 26,89658,126219,38904675
2026-06-17,21-30-51,Wednesday,381210,Dead by Daylight,94361,125059,40213985
